Product_Category,Specific_Product_Name,Active_Chemical_Compound,Chemical_Formula,NEVER_Mix_With,WARNING_LEVEL,Reason_For_Hazard,Alternative_Safe_Products,Storage_Location,First_Aid_Instructions
Hydrogen Peroxide,Hydrogen Peroxide Disinfectant,Hydrogen Peroxide,H2O2,Acetone; Nail polish; Some organic solvents; Metals in some cases,MODERATE,Acetone peroxide explosive formation; reactive with organics,Can be used alone for disinfection; safe with water,Store in opaque container away from direct light and heat,Generally safe for skin exposure; rinse with water if irritation occurs
Pool Shock,Calcium Hypochlorite shock,Calcium Hypochlorite,Ca(ClO)2,OTHER POOL CHLORINE (trichlor; dichlor); Acids; ALL other chemicals; Organic materials,EXTREME,Fire; explosion; chlorine gas; violent reactions,Use single type of pool chemical; follow manufacturer instructions precisely,Dry storage away from moisture; separate from other pool chemicals,Seek fresh air immediately if exposed; flush with water; call Poison Control
Pool Chlorine Tablets,Various brands (trichlor tablet),Trichlor,C3Cl3N3O3,OTHER POOL CHLORINE (calcium hypochlorite); Acids; All other chemicals,EXTREME,Fire; explosion; violent reactions; chlorine gas,Use single chlorine type; follow manufacturer precisely,Dry storage; separate from calcium hypochlorite and acids,Seek fresh air; flush with water; call Poison Control
Paint Thinner,Mineral Spirits; Lacquer Thinner,Methyl Ethyl Ketone; Other solvents,C4H8O; Variable,Bleach; Oxidizing agents; Bases,MODERATE,Toxic compound formation; flammability,Use proper ventilation; use least toxic alternative available,Flammable cabinet away from ignition sources; away from bleach,Remove to fresh air; flush with water if contacted
Nail Polish Remover,Acetone-based remover,Acetone,C3H6O,Hydrogen Peroxide; Bleach; Oxidizing agents,HIGH,Acetone peroxide explosive formation with H2O2; toxic compounds with bleach,Non-acetone removers; professional removal,Sealed container away from heat and oxidizers,Remove to fresh air; wash hands thoroughly; use in ventilated area
Window Cleaner,Windex; glass cleaner with ammonia,Ammonia solution,NH3 (aq),Bleach; Acids; Drain cleaners,HIGH,Chloramine gas with bleach; other toxic reactions,Vinegar and water solution; hydrogen peroxide,Separate from bleach; cool location,Flush with water if contacted; use in ventilated area
All-Purpose Cleaner,General multipurpose cleaners,Variable - may contain ammonia; alcohol; weak acids,Variable,Bleach (unless product specifically states it),MODERATE to HIGH,Unknown interactions if product contains ammonia or alcohols,Single-chemical products; vinegar; baking soda; hydrogen peroxide alone,Store away from bleach,Consult product label; flush with water; ventilate
Disinfectant Spray,Lysol spray; general disinfectants,May contain multiple components,Variable,Other disinfectants; Bleach,MODERATE,Unknown interactions between components,Use single product type; use properly ventilated area,Away from other products,Follow product instructions; use in ventilated area
Baking Soda,Pure sodium bicarbonate,Sodium bicarbonate,NaHCO3,No dangerous interactions,SAFE,NOT HAZARDOUS,Use freely with water; can be combined with vinegar (safe reaction),Pantry; any location,Not hazardous; safe for skin contact
Vinegar + Baking Soda,Two-ingredient mixture,Acetic Acid + Sodium bicarbonate,CH3COOH + NaHCO3,Bleach; Any strong oxidizer,SAFE (as combination),Safe combination that reacts to produce safe byproducts,Excellent cleaning combination,Pantry; any location,Not hazardous; safe combination
Plain Water,Deionized water; distilled water,Water,H2O,ONLY safe with: vinegar; baking soda; plain soaps; hydrogen peroxide alone,SAFE,Not hazardous when used with appropriate cleaners,Universal solvent; use with other safe products,Any location,Not hazardous
