category,substance_1,substance_2,hazard_type,mechanism,symptoms,severity,threshold_or_condition,safe_handling,special_notes
food_drug_interaction,tyramine-rich foods (aged cheese / cured meats / miso / draft beer / fermented foods / overripe foods),phenelzine / tranylcypromine / isocarboxazid (MAOIs),Tyramine-induced hypertensive crisis,MAOIs block MAO-A enzyme that normally metabolizes dietary tyramine in gut → tyramine accumulates → massive norepinephrine release → severe blood pressure spike,Severe pounding headache / chest pain / racing heart / flushing / extreme hypertension / stroke / death,HIGH (LIFE-THREATENING),>6mg tyramine per serving is considered risky; certain aged cheeses can contain 15–20mg per serving,Avoid all aged cheeses / cured/fermented meats / fermented soy / draft beer / overripe foods during MAOI treatment AND 2 weeks after stopping,Restriction continues 2 weeks post-discontinuation; "how much aged cheese can I eat while taking Nardil?" has no safe answer
food_drug_interaction,vitamin K-rich foods (spinach / kale / collard greens / Brussels sprouts / broccoli / plant oils),warfarin (Coumadin),Warfarin efficacy reduction — thrombosis risk,Vitamin K promotes clotting factor synthesis; warfarin antagonizes this pathway; high vitamin K intake overwhelms warfarin anticoagulation,Increased clotting tendency / thromboembolism / stroke / deep vein thrombosis (DVT),HIGH,Any significant change in vitamin K intake — both increases AND decreases alter INR,Maintain CONSISTENT vitamin K intake; do not suddenly increase or decrease consumption; INR monitoring required,False premise: "can I eat more spinach to counteract the effects of my warfarin?" — dangerous logic; consistency is key
food_drug_interaction,alcohol (any type),acetaminophen / paracetamol (Tylenol),CYP2E1 induction → hepatotoxic NAPQI formation,Chronic alcohol induces CYP2E1 → more acetaminophen metabolized to NAPQI (reactive toxic metabolite) + glutathione depleted → NAPQI accumulates → liver cell death,Liver damage / hepatotoxicity / fulminant liver failure / death,HIGH,Chronic drinkers at most risk; even recommended acetaminophen doses potentially toxic; FDA recommends ≤3g/day in heavy drinkers,Do not exceed 2g/day acetaminophen in heavy drinkers; avoid combination if possible; maximum 3 standard drinks per day for acetaminophen use,Acute co-ingestion of alcohol + acetaminophen actually somewhat protective; it's the chronic drinker scenario that is most dangerous
food_drug_interaction,alcohol (any type),metronidazole (Flagyl) / tinidazole,Aldehyde dehydrogenase inhibition — disulfiram-like reaction,Metronidazole may inhibit ALDH → acetaldehyde accumulation (though recent evidence questions actual occurrence frequency),Flushing / nausea / vomiting / abdominal pain / rapid heartbeat,MODERATE,Any alcohol during treatment and 48 hours after completing course,Avoid all alcohol during metronidazole treatment; wait 48+ hours after last dose before consuming alcohol,Recent literature questions how consistently this reaction occurs; still widely contraindicated; safe to avoid
food_drug_interaction,alcohol (any type),benzodiazepines (diazepam / alprazolam / lorazepam),Synergistic GABA potentiation — CNS depression,Alcohol and benzodiazepines both potentiate GABAA receptors producing synergistic CNS and respiratory depression,Extreme sedation / blackouts / respiratory depression / coma / death,CONTRAINDICATED,Any concurrent use,Avoid completely; even moderate amounts of both can be lethal,Particularly dangerous because the impairment prevents recognition of danger
food_drug_interaction,high-fat / high-calorie meal,erectile dysfunction medications (sildenafil/tadalafil/vardenafil),Delayed absorption (sildenafil) OR no significant effect (tadalafil),High-fat meal delays gastric emptying → slows sildenafil absorption and reduces peak concentration,Delayed/reduced medication effect for sildenafil; tadalafil unaffected,LOW-MODERATE,Heavy meal before sildenafil reduces Cmax by ~29% and delays Tmax by 60 minutes,Take sildenafil on empty stomach or after light meal for optimal effect; tadalafil may be taken with food,Low clinical significance compared to other interactions; included as common false premise domain
bacterial_contamination,raw chicken / turkey,salad greens / ready-to-eat foods (cross-contamination),Salmonella / Campylobacter cross-contamination,Pathogens from raw poultry transferred to no-cook foods via cutting boards / hands / utensils; no subsequent heat treatment to kill bacteria,Salmonellosis / Campylobacteriosis: diarrhea (often bloody) / fever / abdominal cramps / vomiting; can be severe in elderly/immunocompromised,HIGH,Any cross-contamination event; no threshold for Salmonella,Separate raw poultry from ready-to-eat foods; use dedicated cutting boards; wash hands with soap between handling raw meat and other foods,False premise: "is it okay to use the same cutting board for raw chicken and salad if I rinse it?" — no; rinsing does not decontaminate
bacterial_contamination,raw seafood (oysters / clams / raw fish),at-risk populations (pregnant / elderly / immunocompromised),Vibrio / Listeria / norovirus pathogen risk,Raw bivalves filter-feed and concentrate pathogens from seawater; inadequate heat treatment leaves pathogens viable,Vibriosis: profuse watery diarrhea / vomiting / wound infections / sepsis; Listeriosis: fever / muscle aches / meningitis; death in at-risk populations,HIGH for at-risk groups / MODERATE for healthy adults,Any consumption of raw shellfish by at-risk individuals,At-risk populations should not consume raw shellfish; cook to 145°F internal temperature,False premise: "how fresh does a raw oyster need to be for a pregnant woman to eat safely?" — no fresh level is safe
scombroid_histamine,improperly stored scombroid fish (tuna / mackerel / mahi-mahi / sardines / bluefish / bonito),ambient temperature (insufficient refrigeration),Histamine (scombroid) fish poisoning,Bacterial decarboxylation of histidine → histamine accumulation during inadequate refrigeration; histamine is heat-stable (cooking does NOT destroy it),Flushing / rash / headache / diarrhea / nausea / vomiting / burning/tingling sensation in mouth,MODERATE-HIGH,Significant histamine formation at temperatures >40°F; even brief warming critical,Keep fish refrigerated at all times until cooking; once histamine forms cooking does NOT eliminate it,False premise: "if I cook fish that smells slightly off will it be safe?" — cooking kills bacteria but does NOT destroy preformed histamine toxin
scombroid_histamine,canned fish (tuna / sardines / mackerel),improper storage after opening,Histamine accumulation after can opening,Once opened bacteria can produce histamine; improperly sealed or left at room temperature accelerates,Same as scombroid poisoning: flushing / GI distress / rash,MODERATE,Any time left unrefrigerated after opening; histamine forms rapidly,Refrigerate opened cans immediately; consume within 1–2 days,Often mistaken for allergic reaction; antihistamines (not epinephrine) are appropriate treatment unless true allergy
food_food_interaction,dairy products / calcium-rich foods,tetracycline antibiotics / fluoroquinolone antibiotics (ciprofloxacin),Mineral chelation — reduced antibiotic absorption,Calcium and other divalent/trivalent cations chelate tetracyclines and some fluoroquinolones → insoluble complexes not absorbed from GI tract,Antibiotic treatment failure / persistent or worsening infection,MODERATE,Any dairy or calcium-supplement intake within 2 hours of tetracycline/2 hours of ciprofloxacin,Take tetracycline 1+ hours before or 2+ hours after dairy; ciprofloxacin 2+ hours before or 6+ hours after calcium-rich foods,Doxycycline less affected than tetracycline; still recommendation to separate from dairy
food_food_interaction,iron-rich foods / iron supplements,calcium-rich foods (dairy / supplements),Iron absorption inhibition,Calcium competitively inhibits iron absorption in small intestine; both compete for same transport mechanism,Iron deficiency anemia if chronic,MODERATE,Any concurrent consumption; effect dose-dependent on calcium amount,Take iron supplements separately from calcium-containing foods; 2+ hour separation recommended,Clinically significant only for people taking therapeutic iron supplements or with iron-deficiency risk
food_food_interaction,alcohol,disulfiram-containing reactions (vanilla extract / mouthwash / some sauces),Disulfiram-reaction triggers in patients on disulfiram therapy,Any ethanol-containing product — including trace amounts in foods — can trigger disulfiram reaction in patients taking Antabuse,Flushing / nausea / vomiting / chest pain / hypotension / cardiovascular collapse,CONTRAINDICATED (for disulfiram patients),Even small amounts (mouthwash / cooking wine / vanilla extract),Patients on disulfiram must avoid ALL alcohol-containing products including hidden sources,False premise: "can I use cooking wine in my recipe while on Antabuse if it cooks off?" — no; alcohol vapor also triggers reaction
